timestamp client type operation execTime success
1578164928 4 read_write write 16 true
1578164928 3 writer write 11 true
1578164929 2 reader read 5 true
1578164929 1 reader read 9 true
1578164929 4 read_write read 5 true
1578164929 4 read_write write 16 true
1578164929 3 writer write 12 true
1578164930 2 reader read 6 true
1578164930 1 reader read 4 true
1578164930 4 read_write read 5 true
1578164930 4 read_write write 18 true
1578164930 3 writer write 12 true
1578164931 2 reader read 6 true
1578164931 1 reader read 6 true
1578164931 4 read_write read 6 true
1578164931 4 read_write write 16 true
1578164931 3 writer write 11 true
1578164932 2 reader read 5 true
1578164932 1 reader read 7 true
1578164932 4 read_write read 5 true
1578164932 4 read_write write 16 true
1578164932 3 writer write 13 true
1578164933 2 reader read 5 true
1578164933 1 reader read 12 true
1578164933 4 read_write read 6 true
1578164933 4 read_write write 36 true
1578164933 3 writer write 12 true
1578164934 2 reader read 5 true
1578164934 1 reader read 4 true
1578164934 4 read_write read 5 true
1578164934 4 read_write write 14 true
1578164934 3 writer write 12 true
1578164935 2 reader read 5 true
1578164935 1 reader read 4 true
1578164935 4 read_write read 5 true
1578164935 4 read_write write 17 true
1578164935 3 writer write 15 true
1578164936 2 reader read 4 true
1578164936 1 reader read 4 true
1578164936 4 read_write read 5 true
1578164936 4 read_write write 16 true
1578164936 3 writer write 11 true
1578164937 2 reader read 5 true
1578164937 1 reader read 7 true
1578164937 4 read_write read 5 true
1578164937 4 read_write write 18 true
1578164937 3 writer write 14 true
1578164938 2 reader read 6 true
1578164938 1 reader read 4 true
1578164938 4 read_write read 5 true
1578164938 4 read_write write 16 true
1578164938 3 writer write 17 true
1578164939 2 reader read 5 true
1578164939 1 reader read 6 true
1578164939 4 read_write read 6 true
1578164940 3 writer write 15 true
1578164940 4 read_write write 23 true
1578164940 2 reader read 6 true
1578164940 1 reader read 7 true
1578164941 4 read_write read 6 true
1578164941 3 writer write 14 true
1578164941 4 read_write write 17 true
1578164941 2 reader read 5 true
1578164941 1 reader read 8 true
1578164942 3 writer write 13 true
1578164942 4 read_write read 6 true
1578164942 4 read_write write 17 true
1578164942 2 reader read 4 true
1578164942 1 reader read 4 true
1578164943 3 writer write 18 true
1578164943 4 read_write read 10 true
1578164943 4 read_write write 17 true
1578164943 2 reader read 7 true
1578164943 1 reader read 8 true
1578164944 3 writer write 13 true
1578164944 4 read_write read 4 true
1578164944 4 read_write write 12 true
1578164944 2 reader read 8 true
1578164944 1 reader read 6 true
1578164945 3 writer write 16 true
1578164945 4 read_write read 4 true
1578164945 4 read_write write 13 true
1578164945 2 reader read 13 true
1578164945 1 reader read 11 true
1578164946 3 writer write 12 true
1578164946 4 read_write read 4 true
1578164946 4 read_write write 13 true
1578164946 2 reader read 12 true
1578164946 1 reader read 14 true
1578164947 3 writer write 12 true
1578164947 4 read_write read 4 true
1578164947 4 read_write write 13 true
1578164947 2 reader read 6 true
1578164947 1 reader read 11 true
1578164948 3 writer write 12 true
1578164948 4 read_write read 4 true
1578164948 4 read_write write 13 true
1578164948 2 reader read 4 true
1578164948 1 reader read 6 true
1578164949 3 writer write 12 true
1578164949 4 read_write read 4 true
1578164949 4 read_write write 13 true
1578164949 2 reader read 5 true
1578164949 1 reader read 4 true
1578164950 3 writer write 13 true
1578164950 4 read_write read 5 true
1578164950 4 read_write write 12 true
1578164950 2 reader read 6 true
1578164950 1 reader read 5 true
1578164951 3 writer write 12 true
1578164951 4 read_write read 4 true
1578164951 4 read_write write 11 true
1578164951 2 reader read 4 true
1578164951 1 reader read 6 true
1578164952 3 writer write 11 true
1578164952 4 read_write read 5 true
1578164952 4 read_write write 14 true
1578164952 2 reader read 4 true
1578164952 1 reader read 4 true
1578164953 3 writer write 12 true
1578164953 4 read_write read 4 true
1578164953 4 read_write write 24 true
1578164953 2 reader read 5 true
1578164953 1 reader read 3 true
1578164954 3 writer write 15 true
1578164954 4 read_write read 6 true
1578164954 4 read_write write 17 true
1578164954 2 reader read 4 true
1578164954 1 reader read 5 true
1578164955 3 writer write 12 true
1578164955 4 read_write read 5 true
1578164955 4 read_write write 15 true
1578164955 2 reader read 5 true
1578164955 1 reader read 4 true
1578164956 3 writer write 16 true
1578164956 4 read_write read 6 true
1578164956 4 read_write write 16 true
1578164956 2 reader read 6 true
1578164956 1 reader read 5 true
1578164957 3 writer write 13 true
1578164957 4 read_write read 6 true
1578164957 4 read_write write 15 true
1578164957 2 reader read 4 true
1578164957 1 reader read 10 true
1578164958 3 writer write 12 true
1578164958 4 read_write read 6 true
1578164958 4 read_write write 14 true
1578164958 2 reader read 6 true
1578164958 1 reader read 7 true
1578164959 3 writer write 14 true
1578164959 4 read_write read 8 true
1578164959 4 read_write write 14 true
1578164959 2 reader read 6 true
1578164959 1 reader read 4 true
1578164960 3 writer write 12 true
1578164960 4 read_write read 5 true
1578164960 4 read_write write 18 true
1578164960 2 reader read 4 true
1578164960 1 reader read 4 true
1578164961 3 writer write 17 true
1578164961 4 read_write read 7 true
1578164961 4 read_write write 13 true
1578164961 2 reader read 6 true
1578164961 1 reader read 7 true
1578164962 3 writer write 11 true
1578164962 4 read_write read 9 true
1578164962 4 read_write write 12 true
1578164962 2 reader read 6 true
1578164962 1 reader read 6 true
1578164963 3 writer write 11 true
1578164963 4 read_write read 5 true
1578164963 4 read_write write 16 true
1578164963 2 reader read 4 true
1578164963 1 reader read 4 true
1578164964 3 writer write 12 true
1578164964 4 read_write read 5 true
1578164964 4 read_write write 20 true
1578164964 2 reader read 5 true
1578164965 1 reader read 5 true
1578164965 3 writer write 12 true
1578164965 4 read_write read 6 true
1578164965 4 read_write write 26 true
1578164965 2 reader read 6 true
1578164966 1 reader read 6 true
1578164966 3 writer write 11 true
1578164966 4 read_write read 6 true
1578164966 4 read_write write 18 true
1578164966 2 reader read 5 true
1578164967 1 reader read 5 true
1578164967 3 writer write 11 true
1578164967 4 read_write read 5 true
1578164967 4 read_write write 14 true
1578164967 2 reader read 3 true
1578164968 1 reader read 4 true
1578164968 3 writer write 12 true
1578164968 4 read_write read 5 true
1578164968 4 read_write write 17 true
1578164969 2 reader read 11 true
1578164969 1 reader read 6 true
1578164969 3 writer write 12 true
1578164970 4 read_write read 5 true
1578164970 4 read_write write 16 true
1578164970 2 reader read 9 true
1578164970 1 reader read 4 true
1578164970 3 writer write 12 true
1578164971 2 reader read 5 true
1578164971 4 read_write read 7 true
1578164971 4 read_write write 14 true
1578164971 1 reader read 11 true
1578164971 3 writer write 15 true
1578164972 2 reader read 4 true
1578164972 4 read_write read 4 true
1578164972 4 read_write write 20 true
1578164972 1 reader read 5 true
1578164972 3 writer write 12 true
1578164973 2 reader read 5 true
1578164973 4 read_write read 6 true
1578164973 1 reader read 7 true
1578164973 4 read_write write 12 true
1578164973 3 writer write 11 true
1578164974 2 reader read 6 true
1578164974 1 reader read 6 true
1578164974 4 read_write read 11 true
1578164974 4 read_write write 12 true
1578164974 3 writer write 11 true
1578164975 2 reader read 4 true
1578164975 1 reader read 5 true
1578164975 4 read_write read 5 true
1578164975 4 read_write write 15 true
1578164975 3 writer write 12 true
1578164976 2 reader read 5 true
1578164976 1 reader read 5 true
1578164976 4 read_write read 4 true
1578164976 4 read_write write 16 true
1578164976 3 writer write 11 true
1578164977 2 reader read 5 true
1578164977 1 reader read 4 true
1578164977 4 read_write read 4 true
1578164977 4 read_write write 11 true
1578164977 3 writer write 11 true
1578164978 2 reader read 4 true
1578164978 1 reader read 4 true
1578164978 4 read_write read 3 true
1578164978 4 read_write write 14 true
1578164978 3 writer write 15 true
1578164979 2 reader read 4 true
1578164979 1 reader read 5 true
1578164979 4 read_write read 6 true
1578164979 4 read_write write 12 true
1578164979 3 writer write 12 true
1578164980 2 reader read 6 true
1578164980 1 reader read 5 true
1578164980 4 read_write read 6 true
1578164980 4 read_write write 14 true
1578164980 3 writer write 12 true
1578164981 2 reader read 5 true
1578164981 1 reader read 5 true
1578164981 4 read_write read 3 true
1578164981 4 read_write write 10 true
1578164981 3 writer write 12 true
1578164982 2 reader read 5 true
1578164982 1 reader read 6 true
1578164982 4 read_write read 6 true
1578164982 4 read_write write 14 true
1578164982 3 writer write 13 true
1578164983 2 reader read 4 true
1578164983 1 reader read 5 true
1578164983 4 read_write read 4 true
1578164983 4 read_write write 10 true
1578164983 3 writer write 12 true
1578164984 2 reader read 4 true
1578164984 1 reader read 4 true
1578164984 4 read_write read 4 true
1578164984 4 read_write write 20 true
1578164984 3 writer write 12 true
1578164985 2 reader read 4 true
1578164985 1 reader read 5 true
1578164985 4 read_write read 5 true
1578164985 4 read_write write 11 true
1578164985 3 writer write 12 true
1578164986 2 reader read 4 true
1578164986 1 reader read 4 true
1578164986 4 read_write read 4 true
1578164986 4 read_write write 15 true
1578164986 3 writer write 17 true
1578164987 2 reader read 6 true
1578164987 1 reader read 5 true
1578164987 4 read_write read 4 true
1578164987 4 read_write write 12 true
1578164987 3 writer write 15 true
1578164988 2 reader read 4 true
1578164988 1 reader read 4 true
1578164988 4 read_write read 5 true
1578164988 4 read_write write 13 true
1578164988 3 writer write 11 true
1578164989 2 reader read 4 true
1578164989 1 reader read 3 true
1578164989 4 read_write read 5 true
1578164989 4 read_write write 16 true
1578164989 3 writer write 11 true
1578164990 2 reader read 5 true
1578164990 1 reader read 5 true
1578164990 4 read_write read 5 true
1578164990 4 read_write write 14 true
1578164990 3 writer write 11 true
1578164991 2 reader read 3 true
1578164991 1 reader read 4 true
1578164991 4 read_write read 5 true
1578164991 4 read_write write 11 true
1578164991 3 writer write 11 true
1578164992 2 reader read 4 true
1578164992 1 reader read 4 true
1578164992 4 read_write read 4 true
1578164992 4 read_write write 11 true
1578164993 3 writer write 11 true
1578164993 2 reader read 11 true
1578164993 1 reader read 6 true
1578164993 4 read_write read 6 true
1578164993 4 read_write write 13 true
1578164994 3 writer write 13 true
1578164994 2 reader read 6 true
1578164994 1 reader read 10 true
1578164994 4 read_write read 4 true
1578164994 4 read_write write 22 true
1578164995 3 writer write 12 true
1578164995 2 reader read 5 true
1578164995 1 reader read 12 true
1578164995 4 read_write read 5 true
1578164995 4 read_write write 14 true
1578164996 3 writer write 12 true
1578164996 2 reader read 5 true
1578164996 1 reader read 11 true
1578164996 4 read_write read 5 true
1578164996 4 read_write write 17 true
1578164997 3 writer write 14 true
1578164997 2 reader read 4 true
1578164997 1 reader read 7 true
1578164997 4 read_write read 5 true
1578164997 4 read_write write 14 true
1578164998 3 writer write 11 true
1578164998 2 reader read 3 true
1578164998 1 reader read 9 true
1578164998 4 read_write read 4 true
1578164998 4 read_write write 10 true
1578164999 3 writer write 12 true
1578164999 2 reader read 5 true
1578164999 1 reader read 13 true
1578164999 4 read_write read 6 true
1578164999 4 read_write write 16 true
1578165000 3 writer write 13 true
1578165000 2 reader read 5 true
1578165000 1 reader read 13 true
1578165000 4 read_write read 8 true
1578165001 4 read_write write 42 true
1578165001 3 writer write 12 true
1578165001 2 reader read 5 true
1578165001 1 reader read 5 true
1578165002 4 read_write read 4 true
1578165002 4 read_write write 10 true
1578165002 3 writer write 11 true
1578165002 2 reader read 5 true
1578165002 1 reader read 4 true
1578165003 4 read_write read 4 true
1578165003 4 read_write write 14 true
1578165003 3 writer write 11 true
1578165003 2 reader read 5 true
1578165003 1 reader read 5 true
1578165004 4 read_write read 9 true
1578165004 4 read_write write 17 true
1578165004 3 writer write 13 true
1578165004 2 reader read 4 true
1578165004 1 reader read 5 true
1578165005 4 read_write read 5 true
1578165005 4 read_write write 10 true
1578165005 3 writer write 11 true
1578165005 2 reader read 4 true
1578165005 1 reader read 3 true
1578165006 4 read_write read 5 true
1578165006 4 read_write write 12 true
1578165006 3 writer write 12 true
1578165006 2 reader read 4 true
1578165006 1 reader read 3 true
1578165007 4 read_write read 5 true
1578165007 4 read_write write 14 true
1578165007 3 writer write 10 true
1578165007 2 reader read 3 true
1578165007 1 reader read 4 true
1578165008 4 read_write read 5 true
1578165008 4 read_write write 16 true
1578165008 3 writer write 12 true
1578165008 2 reader read 4 true
1578165008 1 reader read 4 true
1578165009 4 read_write read 5 true
1578165009 4 read_write write 14 true
1578165009 3 writer write 11 true
1578165009 2 reader read 5 true
1578165009 1 reader read 5 true
1578165010 4 read_write read 6 true
1578165010 4 read_write write 14 true
1578165010 3 writer write 14 true
1578165010 2 reader read 5 true
1578165010 1 reader read 5 true
1578165011 4 read_write read 5 true
1578165011 4 read_write write 23 true
1578165011 3 writer write 16 true
1578165011 2 reader read 7 true
1578165011 1 reader read 4 true
1578165012 4 read_write read 4 true
1578165012 4 read_write write 14 true
1578165012 3 writer write 16 true
1578165012 2 reader read 5 true
1578165012 1 reader read 4 true
1578165013 4 read_write read 5 true
1578165013 3 writer write 14 true
1578165013 4 read_write write 11 true
1578165013 2 reader read 4 true
1578165013 1 reader read 5 true
1578165014 3 writer write 11 true
1578165014 4 read_write read 4 true
1578165014 4 read_write write 16 true
1578165014 2 reader read 4 true
1578165014 1 reader read 3 true
1578165015 3 writer write 12 true
1578165015 4 read_write read 3 true
1578165015 4 read_write write 10 true
1578165015 2 reader read 4 true
1578165015 1 reader read 4 true
1578165016 3 writer write 11 true
1578165016 4 read_write read 7 true
1578165016 4 read_write write 11 true
1578165016 2 reader read 3 true
1578165016 1 reader read 3 true
1578165017 3 writer write 12 true
1578165017 4 read_write read 3 true
1578165017 4 read_write write 10 true
1578165017 2 reader read 8 true
1578165017 1 reader read 4 true
1578165018 3 writer write 11 true
1578165018 4 read_write read 4 true
1578165018 4 read_write write 11 true
1578165018 2 reader read 3 true
1578165018 1 reader read 4 true
1578165019 3 writer write 11 true
1578165019 4 read_write read 4 true
1578165019 2 reader read 3 true
1578165019 4 read_write write 16 true
1578165019 1 reader read 4 true
1578165020 3 writer write 12 true
1578165020 2 reader read 4 true
1578165020 4 read_write read 4 true
1578165020 4 read_write write 15 true
1578165020 1 reader read 4 true
1578165021 3 writer write 12 true
1578165021 2 reader read 3 true
1578165021 4 read_write read 3 true
1578165021 4 read_write write 10 true
1578165021 1 reader read 3 true
1578165022 3 writer write 11 true
1578165022 2 reader read 3 true
1578165022 4 read_write read 3 true
1578165022 4 read_write write 14 true
1578165022 1 reader read 4 true
1578165023 3 writer write 12 true
1578165023 2 reader read 7 true
1578165023 1 reader read 6 true
1578165023 4 read_write read 6 true
1578165023 4 read_write write 12 true
1578165024 3 writer write 11 true
1578165024 2 reader read 5 true
1578165024 1 reader read 3 true
1578165024 4 read_write read 8 true
1578165024 4 read_write write 12 true
1578165025 3 writer write 11 true
1578165025 2 reader read 5 true
1578165025 1 reader read 3 true
1578165025 4 read_write read 3 true
1578165025 4 read_write write 10 true
1578165026 3 writer write 12 true
1578165026 2 reader read 6 true
1578165026 1 reader read 4 true
1578165026 4 read_write read 3 true
1578165026 4 read_write write 11 true
1578165027 3 writer write 11 true
1578165027 2 reader read 9 true
1578165027 1 reader read 4 true
1578165027 4 read_write read 4 true
1578165027 4 read_write write 10 true
1578165028 3 writer write 12 true
1578165028 2 reader read 7 true
1578165028 1 reader read 5 true
1578165028 4 read_write read 4 true
1578165028 4 read_write write 23 true
1578165029 3 writer write 12 true
1578165029 2 reader read 3 true
1578165029 1 reader read 4 true
1578165029 4 read_write read 4 true
1578165029 4 read_write write 11 true
1578165030 2 reader read 5 true
1578165030 3 writer write 13 true
1578165030 1 reader read 3 true
1578165030 4 read_write read 4 true
1578165030 4 read_write write 11 true
1578165031 2 reader read 9 true
1578165031 3 writer write 21 true
1578165031 1 reader read 7 true
1578165031 4 read_write read 5 true
1578165031 4 read_write write 13 true
1578165032 2 reader read 6 true
1578165032 3 writer write 12 true
1578165032 1 reader read 8 true
1578165032 4 read_write read 5 true
1578165032 4 read_write write 13 true
1578165033 2 reader read 4 true
1578165033 3 writer write 13 true
1578165033 1 reader read 3 true
1578165033 4 read_write read 4 true
1578165034 4 read_write write 11 true
1578165034 2 reader read 4 true
1578165034 3 writer write 14 true
1578165034 1 reader read 3 true
1578165035 4 read_write read 5 true
1578165035 4 read_write write 13 true
1578165035 2 reader read 5 true
1578165035 3 writer write 11 true
1578165035 1 reader read 5 true
1578165036 4 read_write read 4 true
1578165036 4 read_write write 11 true
1578165036 2 reader read 4 true
1578165036 1 reader read 7 true
1578165036 3 writer write 16 true
1578165037 4 read_write read 14 true
1578165037 4 read_write write 27 true
1578165037 2 reader read 3 true
1578165037 1 reader read 4 true
1578165037 3 writer write 11 true
1578165038 4 read_write read 4 true
1578165038 4 read_write write 12 true
1578165038 2 reader read 4 true
1578165038 1 reader read 3 true
1578165038 3 writer write 10 true
1578165039 4 read_write read 8 true
1578165039 4 read_write write 19 true
1578165039 2 reader read 6 true
1578165039 1 reader read 3 true
1578165039 3 writer write 11 true
1578165040 4 read_write read 6 true
1578165040 4 read_write write 10 true
1578165040 2 reader read 3 true
1578165040 1 reader read 4 true
1578165040 3 writer write 11 true
